 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,utilization,
      75,TIDL_ConvolutionLayer,       3,       3,     512,       1,       1,       0,       0,       0,       1,         1,     512,     512,       8,       8,       8,       8,   82.55,82548.85, 4477.74, 4527.74, 3600.00,74421.11,    0.00, 32.00, 32.00,  3.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.56,    0.00,    0.00,       2,    2.80,
      78,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,      24,       8,       8,       8,       8,   29.75,29747.78,15510.00,15560.00, 7100.00, 7087.78,    0.00, 32.00,  3.00, 24.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.04,    0.00,    0.00,       1,    5.64,
      74,TIDL_ConvolutionLayer,       3,       3,     512,       2,       2,       0,       0,       0,       1,         1,     512,     512,       8,       8,       4,       4,   91.17,91172.00,13100.89,13150.89, 3600.00,74421.11,    0.00, 32.00,  8.00,  3.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.56,    0.00,    0.00,       2,    0.39,
      77,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,       4,       4,       4,       4,   53.70,53696.09,15787.20,15837.20, 7100.00,30758.89,    0.00,  8.00,  4.00,129.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.07,    0.22,    0.00,    0.00,       1,    6.33,
      81,TIDL_ConvolutionLayer,       3,       3,     256,       1,       1,       0,       0,       0,       1,         1,     256,     256,       4,       4,       4,       4,   43.05,43048.50, 1244.05, 1294.05, 3600.00,38154.44,    0.00,  4.00,  4.00,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.28,    0.00,    0.00,       2,    0.51,
      84,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,      24,       4,       4,       4,       4,   15.01,15006.08, 2368.30, 2418.30, 7100.00, 5487.78,    0.00,  4.00,  0.75, 12.25,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.03,    0.00,    0.00,       1,    1.10,
      80,TIDL_ConvolutionLayer,       3,       3,     256,       2,       2,       0,       0,       0,       1,         1,     256,     256,       4,       4,       2,       2,   45.20,45204.29, 3399.84, 3449.84, 3600.00,38154.44,    0.00,  4.00,  1.00,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.28,    0.00,    0.00,       2,    0.10,
      83,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,       2,       2,       2,       2,   38.22,38221.94, 8277.50, 8327.50, 7100.00,22794.44,    0.00,  1.00,  1.00, 65.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.15,    0.00,    0.00,       1,    1.34,
      86,TIDL_ConvolutionLayer,       3,       3,     256,       2,       2,       0,       0,       0,       1,         1,     256,     256,       2,       2,       1,       1,   45.29,45294.11, 1783.00, 1833.00, 3600.00,39861.11,    0.00,  1.00,  0.25,  1.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.28,    0.00,    0.00,       2,    0.03,
      89,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,       1,       1,       1,       1,   38.22,38221.94, 8277.50, 8327.50, 7100.00,22794.44,    0.00,  0.25,  0.25, 65.50,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.08,    0.15,    0.00,    0.00,       1,    0.34,
