Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 80, TIDL_ConvolutionLayer, 256, 4, 4, 256, 2, 2, 1,  COL, 0, 0, 16, 16, 1, 1, 1,,,,,,,,, L2, DMA, 16, 16, 256, 4224, 0, 0, ,,,,,,,, MSMC, CPU, 4, 4, 256, 1024, 0, 43d00, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 44100, ,,,,,,,, 
 83, TIDL_ConvolutionLayer, 256, 2, 2, 256, 2, 2, 256, ROW_L, 0, 0, 4, 4, 1, 1, 1,,,,,,,,, L2, DMA, 4, 4, 256, 1152, 0, 0, ,,,,,,,, MSMC, CPU, 4, 4, 256, 1024, 0, 43f00, ,,,,,,,, MSMC, DMA, 320, 256, 256, 83456, 0, 44300, ,,,,,,,, 
 86, TIDL_ConvolutionLayer, 256, 2, 2, 256, 1, 1, 1,  COL, 0, 0, 4, 4, 1, 1, 1,,,,,,,,, L2, DMA, 4, 4, 256, 1152, 0, 0, ,,,,,,,, MSMC, CPU, 1, 1, 256, 256, 0, 43d00, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 44300, ,,,,,,,, 
 89, TIDL_ConvolutionLayer, 256, 1, 1, 256, 1, 1, 256, ROW_L, 0, 0, 1, 1, 1, 1, 1,,,,,,,,, L2, DMA, 1, 1, 256, 384, 0, 0, ,,,,,,,, MSMC, CPU, 1, 1, 256, 256, 0, 43d80, ,,,,,,,, MSMC, DMA, 320, 256, 256, 83456, 0, 44300, ,,,,,,,, 
 92, TIDL_ConvolutionLayer, 256, 1, 1, 256, 1, 1, 1,  COL, 0, 0, 1, 1, 1, 1, 1,,,,,,,,, L2, DMA, 1, 1, 256, 384, 0, 0, ,,,,,,,, MSMC, CPU, 1, 1, 256, 256, 0, 44300, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 44400, ,,,,,,,, 
 94, TIDL_ConvolutionLayer, 256, 1, 1, 16, 1, 1, 256, ROW_L, 0, 0, 2, 2, 1, 1, 1,,,,,,,,, L2, DMA, 2, 2, 256, 640, 0, 0, ,,,,,,,, MSMC, CPU, 2, 2, 16, 128, 0, 43d00, ,,,,,,,, MSMC, DMA, 576, 512, 16, 9344, 0, 44400, ,,,,,,,, 
 93, TIDL_ConvolutionLayer, 256, 1, 1, 256, 1, 1, 1,  COL, 0, 0, 1, 1, 1, 1, 1,,,,,,,,, L2, DMA, 1, 1, 256, 384, 0, 0, ,,,,,,,, MSMC, CPU, 1, 1, 256, 256, 0, 44300, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 44400, ,,,,,,,, 
 95, TIDL_ConvolutionLayer, 256, 1, 1, 56, 1, 1, 256, ROW_L, 0, 0, 2, 2, 1, 1, 1,,,,,,,,, L2, DMA, 2, 2, 256, 640, 0, 0, ,,,,,,,, MSMC, CPU, 2, 2, 56, 128, 0, 43d80, ,,,,,,,, MSMC, DMA, 576, 512, 56, 32768, 0, 44400, ,,,,,,,, 
 87, TIDL_ConvolutionLayer, 256, 2, 2, 256, 2, 2, 1,  COL, 0, 0, 4, 4, 1, 1, 1,,,,,,,,, L2, DMA, 4, 4, 256, 1152, 0, 0, ,,,,,,,, MSMC, CPU, 4, 4, 256, 1024, 0, 44300, ,,,,,,,, MSMC, DMA, 9, 9, 768, 8448, 0, 44700, ,,,,,,,, 
 90, TIDL_ConvolutionLayer, 256, 2, 2, 24, 2, 2, 256, ROW_L, 0, 0, 8, 8, 1, 1, 1,,,,,,,,, L2, DMA, 8, 8, 256, 2176, 0, 0, ,,,,,,,, MSMC, CPU, 8, 8, 24, 256, 0, 43e00, ,,,,,,,, MSMC, DMA, 576, 512, 24, 14080, 0, 44700, ,,,,,,,, 
